Topic title: Najib shoot his own foot regarding 1mdb scandal ,"Topic posted on: 25 Jul 2017, 19:07:00",Topic link: https://forum.lowyat.net/topic/4369907,"Topic scraped on: 02 Aug 2017, 02:53:20",
username,date,avatar_title,group,post_count,join_date,from,text
starlight glimmer,20170725,New Member,Group: Junior Member,Posts: 6,201505,,08RPi92ZYA4
avatargod,20170725,New Member,Group: Junior Member,Posts: 32,200812,,Can someone give tldr version of this 1mdb thingy..I'm not sure what's going on here.
sonic31s,20170725,Getting Started,Group: Junior Member,Posts: 85,201604,,1MDB the world scandal news...Yet Rakyat can't even mentioned on this news...Malaysian are still in a dark age !
Nub!,20170725,Casual,Group: Junior Member,Posts: 403,200705,,Greatest asset of the contry.. Weeeeee
hackwire,20170725,Look at all my stars!!,Group: Senior Member,"Posts: 4,180",200501,,"In the eye of english international, this guy Talk like the leaders alike ali baba, jack ma, mark zucker, etc etc.In the eye of umno agm, talk racist, bangun melayu, melayu di cabar , pembangkang derhaka etc etc. Puit"
starlight glimmer,20170725,New Member,Group: Junior Member,Posts: 6,201505,,true story
hackwire,20170725,Look at all my stars!!,Group: Senior Member,"Posts: 4,180",200501,,FARGOThis event is based on true story.
kimp,20170725,New Member,Group: Junior Member,Posts: 31,200812,From: Laboratory,
Toyoi,20170726,New Member,Group: Junior Member,Posts: 7,201302,From: ToyoiLand,"Johari, declassify audit report if 'nothing wrong' found in 1MDB20 Mar 2017https://forum.lowyat.net/topic/4228752PAS: Kini waktu terbaik dedah laporan 1MDB25 Apr 2017https://forum.lowyat.net/topic/4275091Final 1MDB report classified as secret3 Mar 2016https://forum.lowyat.net/topic/3883695https://forum.lowyat.net/topic/3885310"
Zot,20170726,Regular,Group: Senior Member,"Posts: 1,922",201403,,"The reason why Malaysians are in the dark on what actually happened is because Malaysians are in toilet bowl themselves. The  shit water is too cloudy. The rest of the world is standing next to toilet bowl, trying to flush but no water"
juicyliana,20170726,"when u think juicy, think liana",Group: Senior Member,Posts: 743,201108,From: Lowyat.net,"election coming soon, time to gain confidence campaign...."
Strike,20170726,New Member,Group: Junior Member,Posts: 34,200301,From: KL,"erection..say got ppl want to destroy country, islam, malayWIN liao"
DarkAeon,20170726,Casual,Group: Junior Member,Posts: 452,201011,,he shud welcome more of this coz his bank account ended up with billions just like that
